"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2011 Estimate","","19,465,197","48.5%","51.5%","5.9%","5.9%","6.1%","6.9%","7.3%","13.9%","13.2%","14.7%","6.6%","5.7%","7.2%","4.5%","2.1%","38.1","78.0%","73.5%","17.0%","13.7%","15,185,575","47.7%","52.3%","2,664,920","41.6%","58.4%","","19,465,197","97.3%","2.7%","97.3%","65.3%","15.6%","0.3%","0.0%","0.0%","0.0%","0.0%","7.4%","1.7%","3.0%","0.6%","0.2%","0.7%","0.2%","1.1%","0.0%","0.0%","0.0%","0.0%","0.0%","8.6%","2.7%","0.8%","0.3%","0.4%","0.1%","","19,465,197","67.3%","16.9%","0.9%","8.2%","0.1%","9.5%","","19,465,197","18.0%","2.4%","5.8%","0.4%","9.4%","82.0%","57.8%","14.4%","0.2%","7.4%","0.0%","0.5%","1.7%","0.2%","1.5%","8,119,804"
"    2012 - 2011 Statistical Significance","","c","","","","*","","*","*","*","*","*","","","*","*","*","","*","*","*","*","*","","","*","*","*","","c","","","","","","","*","","","","*","","*","","","","","","","","","","","","","","","","","","c","","","*","*","","","","c","*","","*","","*","*","*","","","*","*","","","","","*"
"    2010 Estimate","","19,392,283","48.4%","51.6%","5.9%","6.0%","6.3%","7.0%","7.3%","13.7%","13.5%","14.8%","6.4%","5.5%","7.0%","4.5%","2.0%","38.0","77.8%","73.2%","16.8%","13.5%","15,079,820","47.6%","52.4%","2,624,048","41.5%","58.5%","","19,392,283","97.4%","2.6%","97.4%","65.9%","15.5%","0.4%","0.0%","0.0%","0.0%","0.0%","7.4%","1.7%","3.1%","0.6%","0.2%","0.7%","0.1%","1.0%","0.0%","0.0%","0.0%","0.0%","0.0%","8.1%","2.6%","0.7%","0.3%","0.4%","0.1%","","19,392,283","67.9%","16.9%","0.9%","8.1%","0.1%","8.9%","","19,392,283","17.7%","2.5%","5.6%","0.4%","9.3%","82.3%","58.2%","14.4%","0.2%","7.3%","0.0%","0.4%","1.6%","0.2%","1.4%","8,108,211"
"    2012 - 2010 Statistical Significance","","c","*","*","","*","*","*","*","*","*","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","","c","","","","*","","","","","","","*","","","","","","","*","","*","","","","*","","","","","","","c","*","","","*","","*","","c","*","","","","*","*","*","","","*","","*","","*","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","9,752,073","48.7%","51.3%","6.3%","6.7%","6.7%","6.8%","7.1%","12.8%","13.6%","14.0%","6.5%","5.8%","8.0%","4.2%","1.6%","37.8","76.6%","72.1%","17.2%","13.8%","7,468,071","48.0%","52.0%","1,346,700","43.0%","57.0%","","9,752,073","97.7%","2.3%","97.7%","69.9%","21.6%","1.2%","0.1%","0.0%","0.0%","0.0%","2.3%","0.6%","0.4%","0.2%","0.1%","0.2%","0.3%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","2.3%","0.8%","0.4%","0.3%","0.2%","","9,752,073","71.8%","22.9%","1.9%","2.8%","0.1%","3.0%","","9,752,073","8.7%","5.5%","0.8%","0.3%","2.1%","91.3%","64.5%","21.3%","1.1%","2.3%","0.1%","0.2%","1.9%","0.1%","1.8%","4,375,400"
"    2011 Estimate","","9,656,401","48.5%","51.5%","6.5%","6.5%","6.8%","6.9%","7.0%","12.9%","13.7%","14.2%","6.5%","5.8%","7.5%","4.2%","1.5%","37.7","76.3%","71.7%","16.7%","13.2%","7,367,259","47.9%","52.1%","1,275,956","42.6%","57.4%","","9,656,401","97.9%","2.1%","97.9%","70.1%","21.7%","1.2%","0.2%","0.0%","0.0%","0.0%","2.2%","0.7%","0.4%","0.1%","0.0%","0.2%","0.3%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","2.7%","2.1%","0.8%","0.4%","0.3%","0.1%","","9,656,401","71.9%","22.8%","1.8%","2.6%","0.1%","3.1%","","9,656,401","8.6%","5.0%","0.8%","0.2%","2.5%","91.4%","64.9%","21.4%","1.1%","2.2%","0.0%","0.2%","1.7%","0.1%","1.6%","4,362,956"
"    2012 - 2011 Statistical Significance","","c","*","*","*","","*","","","","","*","","","*","","","","*","*","*","*","*","*","*","*","*","*","","c","","","","","","","","","","","*","","","*","","","","","","","","","","","","","","","","","c","","","","*","","","","c","*","*","","","*","*","*","","","*","","","*","","*","*"
"    2010 Estimate","","9,561,558","48.7%","51.3%","6.6%","6.6%","6.7%","7.0%","6.9%","13.0%","14.0%","14.2%","6.3%","5.7%","7.4%","4.0%","1.6%","37.3","76.1%","71.5%","16.3%","13.0%","7,277,315","47.9%","52.1%","1,239,719","42.4%","57.6%","","9,561,558","97.7%","2.3%","97.7%","69.7%","21.4%","1.2%","0.2%","0.0%","0.0%","0.0%","2.2%","0.6%","0.3%","0.2%","0.1%","0.2%","0.3%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","3.1%","2.3%","0.7%","0.5%","0.3%","0.2%","","9,561,558","71.6%","22.6%","2.1%","2.6%","0.1%","3.5%","","9,561,558","8.4%","5.2%","0.8%","0.2%","2.2%","91.6%","65.2%","21.2%","1.1%","2.2%","0.0%","0.2%","1.8%","0.1%","1.7%","4,333,479"
"    2012 - 2010 Statistical Significance","","c","","","*","","","*","*","*","*","*","*","","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","","","","","*","","*","*","","","*","","","","","","","","","","*","","","*","","*","","","*","","c","","*","*","*","","*","","c","*","*","","","","*","*","","","*","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","699,628","51.1%","48.9%","6.4%","6.4%","5.7%","7.0%","9.0%","14.1%","11.1%","13.2%","6.6%","6.0%","7.2%","4.9%","2.3%","36.2","78.0%","72.4%","17.9%","14.4%","545,530","50.9%","49.1%","100,962","44.0%","56.0%","","699,628","98.0%","2.0%","98.0%","89.5%","1.5%","5.3%","0.1%","2.3%","0.0%","1.6%","1.0%","0.2%","0.3%","0.1%","0.1%","0.0%","0.2%","0.1%","0.2%","N","N","N","N","0.6%","2.0%","0.4%","0.9%","0.3%","0.1%","","699,628","91.4%","2.0%","6.4%","1.3%","0.2%","0.8%","","699,628","2.4%","1.6%","0.2%","0.0%","0.5%","97.6%","88.1%","1.4%","5.2%","1.0%","0.2%","0.0%","1.7%","0.0%","1.7%","329,249"
"    2011 Estimate","","683,932","50.3%","49.7%","6.8%","6.3%","5.5%","6.8%","9.1%","13.7%","11.0%","13.8%","6.8%","5.9%","7.0%","4.8%","2.5%","36.6","77.9%","72.7%","17.5%","14.4%","532,654","50.3%","49.7%","98,456","43.7%","56.3%","","683,932","98.1%","1.9%","98.1%","89.8%","1.0%","5.6%","0.0%","2.4%","0.0%","1.6%","1.0%","0.2%","0.2%","0.2%","0.1%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","0.6%","1.9%","0.5%","0.8%","0.3%","0.0%","","683,932","91.6%","1.5%","6.5%","1.5%","0.1%","0.7%","","683,932","2.2%","1.7%","0.2%","0.0%","0.2%","97.8%","88.5%","0.9%","5.6%","1.0%","0.0%","0.0%","1.7%","0.0%","1.7%","320,888"
"    2012 - 2011 Statistical Significance","","c","*","*","*","","","","","*","","*","","","*","","","","","","","","*","*","*","*","","","","c","","","","*","*","","*","","","","","","","","","","","","","","","","","","","","","","","","c","","*","","*","","","","c","*","","","","*","*","*","*","*","","","","","","","*"
"    2010 Estimate","","674,499","50.9%","49.1%","6.6%","6.3%","5.6%","7.0%","8.8%","13.2%","11.4%","14.3%","6.9%","5.4%","7.0%","5.1%","2.5%","37.4","77.7%","72.7%","17.7%","14.5%","524,042","50.4%","49.6%","98,075","43.6%","56.4%","","674,499","98.0%","2.0%","98.0%","90.0%","1.3%","4.9%","0.0%","1.8%","0.1%","1.8%","1.1%","0.2%","0.3%","0.1%","0.1%","0.1%","0.2%","0.1%","0.1%","N","N","N","N","0.5%","2.0%","0.2%","1.0%","0.3%","0.1%","","674,499","91.9%","1.6%","6.2%","1.5%","0.2%","0.7%","","674,499","2.1%","1.5%","0.2%","0.0%","0.4%","97.9%","88.9%","1.2%","4.8%","1.1%","0.1%","0.0%","1.8%","0.0%","1.8%","318,099"
"    2012 - 2010 Statistical Significance","","c","","","","","","","","*","","*","","*","*","","","*","*","","","","*","*","*","*","","","","c","","","","*","","*","","*","","","","","","","","*","","","","","","","","","","*","","","","","c","*","*","","*","","","","c","*","","","","","*","*","*","*","","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","11,544,225","48.9%","51.1%","6.0%","6.4%","6.6%","6.9%","6.8%","12.4%","12.4%","14.5%","7.1%","6.2%","8.0%","4.6%","2.1%","39.3","77.0%","72.7%","18.4%","14.8%","8,884,300","48.2%","51.8%","1,707,568","42.9%","57.1%","","11,544,225","97.7%","2.3%","97.7%","82.7%","12.2%","0.2%","0.0%","0.0%","0.0%","0.0%","1.7%","0.6%","0.4%","0.1%","0.1%","0.1%","0.1%","0.3%","0.0%","0.0%","0.0%","0.0%","0.0%","0.8%","2.3%","1.0%","0.4%","0.3%","0.1%","","11,544,225","84.8%","13.6%","0.8%","2.2%","0.1%","1.0%","","11,544,225","3.2%","1.6%","0.9%","0.1%","0.7%","96.8%","80.6%","12.1%","0.2%","1.7%","0.0%","0.1%","2.0%","0.0%","2.0%","5,128,846"
"    2011 Estimate","","11,544,951","48.9%","51.1%","6.1%","6.5%","6.6%","7.0%","6.7%","12.3%","12.6%","14.8%","6.9%","6.2%","7.5%","4.7%","2.0%","39.1","76.7%","72.3%","18.0%","14.3%","8,852,579","48.2%","51.8%","1,647,834","42.5%","57.5%","","11,544,951","97.7%","2.3%","97.7%","82.9%","12.1%","0.2%","0.1%","0.0%","0.0%","0.0%","1.7%","0.6%","0.4%","0.2%","0.1%","0.1%","0.1%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.9%","2.3%","1.1%","0.4%","0.3%","0.1%","","11,544,951","85.0%","13.5%","0.8%","2.1%","0.1%","1.0%","","11,544,951","3.2%","1.6%","0.9%","0.1%","0.6%","96.8%","80.9%","12.0%","0.1%","1.7%","0.0%","0.1%","2.0%","0.1%","2.0%","5,133,528"
"    2012 - 2011 Statistical Significance","","c","","","*","*","","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","","","*","*","*","","c","","","","*","*","","","","","","","","","","","","","*","*","*","","","","","","*","","","","","c","*","*","","*","","","","c","*","","","*","","*","*","","","","*","","","","","*"
"    2010 Estimate","","11,536,182","48.8%","51.2%","6.2%","6.5%","6.7%","7.1%","6.6%","12.3%","12.8%","15.1%","6.8%","5.8%","7.4%","4.7%","2.0%","38.9","76.4%","72.1%","17.4%","14.1%","8,815,336","48.1%","51.9%","1,625,778","42.3%","57.7%","","11,536,182","97.9%","2.1%","97.9%","83.0%","12.2%","0.2%","0.0%","0.0%","0.0%","0.0%","1.7%","0.6%","0.4%","0.2%","0.1%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","0.8%","2.1%","1.0%","0.4%","0.3%","0.1%","","11,536,182","84.8%","13.5%","0.7%","2.1%","0.1%","1.0%","","11,536,182","3.1%","1.6%","0.8%","0.1%","0.7%","96.9%","81.0%","12.1%","0.2%","1.7%","0.0%","0.1%","1.8%","0.1%","1.7%","5,128,113"
"    2012 - 2010 Statistical Significance","","c","*","*","*","*","","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","","","","","","*","","","","","","","","*","*","","","","","","*","","","*","","","c","","*","*","*","","","","c","*","","*","","","*","*","","","","*","","*","","*",""
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","3,814,820","49.5%","50.5%","6.9%","7.0%","6.8%","6.8%","7.4%","13.5%","12.3%","13.3%","6.5%","5.5%","8.0%","4.4%","1.7%","36.3","75.5%","71.0%","17.3%","14.1%","2,878,536","49.0%","51.0%","536,007","44.1%","55.9%","","3,814,820","92.3%","7.7%","92.3%","73.5%","7.2%","7.3%","2.8%","0.0%","0.0%","0.0%","1.8%","0.3%","0.3%","0.1%","0.1%","0.2%","0.5%","0.4%","0.1%","0.0%","0.0%","0.0%","0.1%","2.3%","7.7%","0.9%","5.2%","0.3%","0.5%","","3,814,820","80.5%","8.9%","13.4%","2.3%","0.2%","2.7%","","3,814,820","9.3%","7.7%","0.3%","0.1%","1.2%","90.7%","67.8%","7.1%","7.0%","1.8%","0.1%","0.1%","6.7%","0.0%","6.7%","1,677,646"
"    2011 Estimate","","3,791,508","49.5%","50.5%","7.0%","6.8%","6.9%","7.0%","7.2%","13.5%","12.3%","13.6%","6.4%","5.7%","7.6%","4.4%","1.6%","36.3","75.3%","70.8%","17.1%","13.6%","2,855,875","49.0%","51.0%","517,390","43.8%","56.2%","","3,791,508","92.0%","8.0%","92.0%","73.6%","7.3%","6.9%","2.5%","0.0%","0.0%","0.0%","1.7%","0.3%","0.3%","0.1%","0.0%","0.1%","0.5%","0.4%","0.1%","0.0%","0.0%","0.0%","0.1%","2.4%","8.0%","0.8%","5.6%","0.3%","0.4%","","3,791,508","81.0%","8.8%","13.3%","2.2%","0.2%","2.8%","","3,791,508","9.2%","7.7%","0.4%","0.1%","1.1%","90.8%","68.2%","7.2%","6.6%","1.7%","0.1%","0.0%","7.0%","0.1%","7.0%","1,674,724"
"    2012 - 2011 Statistical Significance","","c","","","*","","","*","*","","","*","","","*","","","","*","*","*","*","*","","","*","*","*","","c","","","","","","*","*","","","","*","","","","*","","","","*","","","","","","","","*","","*","","c","*","","","","","","","c","c","","","","","c","*","","*","*","*","*","*","","","*"
"    2010 Estimate","","3,761,702","49.3%","50.7%","7.0%","6.9%","6.9%","7.0%","7.1%","13.5%","12.4%","14.0%","6.3%","5.5%","7.5%","4.4%","1.6%","36.3","75.3%","70.7%","16.7%","13.6%","2,830,778","48.9%","51.1%","509,789","43.6%","56.4%","","3,761,702","92.1%","7.9%","92.1%","73.5%","7.2%","7.0%","2.6%","0.0%","0.0%","0.0%","1.7%","0.3%","0.2%","0.2%","0.0%","0.1%","0.4%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","7.9%","0.8%","5.6%","0.3%","0.4%","","3,761,702","80.7%","8.6%","13.3%","2.2%","0.2%","3.1%","","3,761,702","8.8%","7.4%","0.2%","0.0%","1.1%","91.2%","68.6%","7.1%","6.7%","1.7%","0.1%","0.1%","6.9%","0.0%","6.9%","1,666,205"
"    2012 - 2010 Statistical Significance","","c","*","*","*","","","*","*","","","*","*","","*","","","","*","*","*","*","*","*","*","*","*","*","","c","","","","","","*","","","","","*","","","","","*","","","","","*","","","*","","","*","","*","","c","","*","","*","","*","","c","*","*","","","","*","*","","*","*","","*","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
